,clf,split0_ae_fit_time,split0_clf_fit_time,split0_test_accuracy,split0_score_time,split1_ae_fit_time,split1_clf_fit_time,split1_test_accuracy,split1_score_time,split2_ae_fit_time,split2_clf_fit_time,split2_test_accuracy,split2_score_time,dataset_id,hidden_dims,mean_ae_fit_time,mean_clf_fit_time,mean_score_time,mean_test_accuracy
60,SVC,8.646881341934204,0.15195751190185547,0.3801498127340824,0.0992271900177002,8.278124570846558,0.14499139785766602,0.38461538461538464,0.10360145568847656,11.138555765151978,0.13912630081176758,0.4033771106941839,0.09716963768005372,1492,0.75,9.354520559310911,0.14535840352376306,0.09999942779541016,0.3893807693478836
61,LinearSVC,8.646881341934204,0.4835200309753418,0.4606741573033708,0.0011565685272216795,8.278124570846558,0.4934337139129639,0.476547842401501,0.0010776519775390623,11.138555765151978,0.4910838603973389,0.4878048780487805,0.0010325908660888672,1492,0.75,9.354520559310911,0.4893458684285482,0.0010889371236165364,0.4750089592512174
62,LogisticRegression,8.646881341934204,2.7289764881134038,0.6329588014981273,0.0007550716400146483,8.278124570846558,2.7226152420043945,0.6454033771106942,0.001064777374267578,11.138555765151978,2.9008672237396236,0.6416510318949343,0.0011196136474609377,1492,0.75,9.354520559310911,2.7841529846191406,0.0009798208872477212,0.6400044035012519
63,GaussianNB,8.646881341934204,0.005222082138061523,0.5580524344569289,0.011353492736816406,8.278124570846558,0.008678913116455078,0.5722326454033771,0.020346879959106445,11.138555765151978,0.005309820175170898,0.574108818011257,0.010829925537109377,1492,0.75,9.354520559310911,0.006403605143229167,0.01417676607767741,0.5681312992905211
64,DecisionTreeClassifier,8.646881341934204,0.1626262664794922,0.4569288389513109,0.0004405975341796875,8.278124570846558,0.1752769947052002,0.4840525328330206,0.0007762908935546875,11.138555765151978,0.14962124824523926,0.4671669793621013,0.0005545616149902344,1492,0.75,9.354520559310911,0.1625081698099772,0.0005904833475748698,0.4693827837154776
65,KNeighborsClassifier,8.646881341934204,0.0033371448516845703,0.5468164794007491,0.02617335319519043,8.278124570846558,0.0037069320678710938,0.5647279549718575,0.028918981552124023,11.138555765151978,0.0035724639892578125,0.5628517823639775,0.048047542572021484,1492,0.75,9.354520559310911,0.003538846969604492,0.03437995910644531,0.558132072245528
66,SVC,8.191650390625,0.1675257682800293,0.3295880149812734,0.10765314102172853,6.260321855545044,0.16835665702819824,0.4071294559099437,0.11953163146972655,8.104665040969849,0.1772298812866211,0.38649155722326456,0.1111299991607666,1492,1.0,7.518879095713299,0.1710374355316162,0.11277159055074056,0.37440300937149373
67,LinearSVC,8.191650390625,0.7229876518249512,0.4625468164794008,0.002882719039916992,6.260321855545044,0.8855350017547607,0.4559099437148218,0.0012004375457763672,8.104665040969849,0.6625401973724365,0.50093808630394,0.0020537376403808594,1492,1.0,7.518879095713299,0.7570209503173828,0.0020456314086914067,0.4731316154993875
68,LogisticRegression,8.191650390625,2.8075530529022217,0.6011235955056179,0.002488851547241211,6.260321855545044,2.8508608341217037,0.6360225140712945,0.0011115074157714844,8.104665040969849,2.9312832355499268,0.6454033771106942,0.0009765625,1492,1.0,7.518879095713299,2.8632323741912837,0.0015256404876708984,0.6275164955625355
69,GaussianNB,8.191650390625,0.00531458854675293,0.5449438202247191,0.01517367362976074,6.260321855545044,0.005208253860473633,0.5759849906191371,0.014116525650024412,8.104665040969849,0.01055288314819336,0.6041275797373359,0.02006435394287109,1492,1.0,7.518879095713299,0.007025241851806641,0.016451517740885418,0.5750187968603974
70,DecisionTreeClassifier,8.191650390625,0.19965243339538571,0.4700374531835206,0.0004584789276123047,6.260321855545044,0.1971273422241211,0.49906191369606,0.0008671283721923827,8.104665040969849,0.23502850532531736,0.4878048780487805,0.0007293224334716798,1492,1.0,7.518879095713299,0.2106027603149414,0.0006849765777587892,0.4856347483094537
